"Open","High","Low","Close","Contact","Open.Int","Rtn..1.Day","Rtn..1.Day.1","Rtn..2.Day","Date","Rtn..1.Day.Table","X","X.1","X.2","X.3","sma20","ema14","dn","mavg","up","pctB","rsi14","macd","signal"
1891,1919.9,1881.15,1916.95,163262,14176800,"1.43%","0.03%","0.53%","02/13/2004","","","","","",1866.0575,1871.54444984644,1766.89264092684,1866.0575,1965.22235907316,0.756605517698828,56.7442000532982,-2.01419659193616,-2.50508296902849
1920,1931.7,1913,1917.6,171232,14216800,"0.03%","0.50%","0.14%","02/16/2004","","","","","",1864.3625,1877.68518986692,1770.05757502256,1864.3625,1958.66742497744,0.782262564827539,56.8131565640284,-1.769272857468,-2.49355794984431
1913.4,1931.7,1903,1927.15,166414,15408000,"0.50%","-0.36%","-3.54%","02/17/2004","","","","","",1865.295,1884.28049788466,1768.91673014626,1865.295,1961.67326985374,0.820897024266309,57.8756800314255,-1.32056255798567,-2.37351294896325
1927.5,1937.4,1916.55,1920.2,153944,15122000,"-0.36%","-3.19%","-3.49%","02/18/2004","","","","","",1863.9625,1889.06976483337,1771.47284179434,1863.9625,1956.45215820566,0.804020476943215,56.7808292916325,-0.727735664862106,-2.15070472131967
1921.5,1921.9,1851.15,1858.95,271180,16928400,"-3.19%","-0.31%","-2.62%","02/19/2004","","","","","",1862.38,1885.05379618892,1770.6879425468,1862.38,1954.07205745319,0.481296089894423,48.1380524966406,-0.152884257333408,-1.81904740376874
1851,1872.6,1834.1,1853.2,315272,15009200,"-0.31%","-2.31%","-1.63%","02/20/2004","","","","","",1863.2625,1880.80662336373,1772.28336571636,1863.2625,1954.24163428364,0.444698858264417,47.4085038587616,0.233856521543085,-1.44196015139886
1856.6,1868.8,1801.1,1810.3,203088,13670000,"-2.31%","0.70%","-1.19%","02/23/2004","","","","","",1864.4275,1871.40574024857,1776.85133043887,1864.4275,1952.00366956113,0.190969014337756,42.2622365349671,0.673218326131253,-1.04663998204783
1801,1828,1781,1822.95,281046,10075200,"0.70%","-1.88%","-2.89%","02/24/2004","","","","","",1862.345,1864.94497488209,1772.92291715689,1862.345,1951.76708284311,0.279724433006564,44.1861947747804,0.887651265126532,-0.693149595441837
1820,1820,1781.8,1788.7,201766,7519600,"-1.88%","-1.03%","0.90%","02/25/2004","","","","","",1856.185,1854.77897823115,1764.32584640059,1856.185,1948.04415359941,0.132671337827168,40.2732222641187,0.713517175969791,-0.386267626757186
1789.7,1821.7,1765.35,1770.25,180120,4318000,"-1.03%","1.95%","4.39%","02/26/2004","","","","","",1851.3775,1843.50844780033,1752.37370474446,1851.3775,1950.38129525554,0.0902808584731302,38.3053361976291,0.606222864211059,-0.0951099094074956
1782,1810.75,1766.35,1804.8,209306,15650800,"1.95%","2.39%","2.88%","02/27/2004","","","","","",1849.085,1838.34732142695,1748.01811076322,1849.085,1950.15188923678,0.280912421791039,43.8394871550495,0.369455567614319,0.142526582268317
1811,1851.7,1808.65,1848,166650,14741200,"2.39%","0.48%","-0.66%","03/01/2004","","","","","",1850.7425,1839.63434523669,1750.89584119261,1850.7425,1950.58915880739,0.486266440796531,49.8919394058217,0.154558193593535,0.30642888799934
1852.7,1867.5,1843.15,1856.8,235788,16083600,"0.48%","-1.13%","0.97%","03/03/2004","","","","","",1854.9575,1841.92309920513,1761.78426738998,1854.9575,1948.13073261002,0.50988749637845,51.0492326548079,-0.261034736715005,0.358284546682351
1860,1864,1823.1,1835.8,215514,16012800,"-1.13%","2.12%","2.71%","03/04/2004","","","","","",1855.45,1841.10668597778,1762.79258799211,1855.45,1948.10741200789,0.393964230307195,48.1889770893579,-0.569455621608983,0.311998839540621
1837.85,1878.65,1837.85,1874.75,237452,15908800,"2.12%","0.58%","-0.68%","03/05/2004","","","","","",1859.39,1845.59246118074,1770.5657375488,1859.39,1948.2142624512,0.586462862601525,53.4037936003013,-0.728649882951837,0.205053683485629
1876,1891.7,1875.25,1885.6,150478,15490800,"0.58%","-1.25%","-2.48%","03/08/2004","","","","","",1861.935,1850.92679968998,1773.16949374898,1861.935,1950.70050625102,0.633300653595539,54.7694934948996,-0.923996484762102,0.0275853711641454
1882.5,1882.5,1842.1,1862,239564,15543600,"-1.25%","-1.24%","-3.16%","03/09/2004","","","","","",1860.8675,1852.40322639798,1772.64597612402,1860.8675,1949.08902387598,0.506418501688954,51.2508691848323,-0.933627447009511,-0.174778930184304
1854,1856,1832.5,1838.9,212664,16503600,"-1.24%","-1.95%","-1.44%","03/10/2004","","","","","",1859.0025,1850.60279621158,1770.5795308404,1859.0025,1947.4254691596,0.386327612660716,48.0002763599612,-1.04741253137411,-0.370437786555849
1831.5,1835.8,1797.5,1803.1,211002,17176000,"-1.95%","0.52%","-2.45%","03/11/2004","","","","","",1854.2975,1844.26909005004,1764.50172351246,1854.2975,1944.09327648754,0.214922560934117,43.4055243700288,-1.14259958132171,-0.564751391615046
1795.25,1817,1778.1,1812.45,238536,16896400,"0.52%","-2.95%","-3.69%","03/12/2004","","","","","",1850.4225,1840.02654471003,1760.42671412644,1850.4225,1940.41828587356,0.289031788369798,44.8892976639571,-1.16211622511194,-0.734926035251297
1817,1825.6,1747.1,1759,286948,17688800,"-2.95%","-0.76%","-0.41%","03/15/2004","","","","","",1842.525,1829.22300541536,1749.59388303695,1842.525,1935.45611696305,0.0506080055337626,38.6508895168592,-1.21991490970188,-0.887645268950787
1745,1765.9,1726.2,1745.65,303328,19340400,"-0.76%","0.36%","-1.62%","03/16/2004","","","","","",1833.9275,1818.07993802665,1738.58482081067,1833.9275,1929.27017918933,0.0370515033215228,37.2581481369887,-1.14778879645774,-0.986173497811091
1747.9,1762.9,1735,1751.85,221040,19914400,"0.36%","-1.97%","-1.40%","03/17/2004","","","","","",1825.1625,1809.24927962309,1733.5536473983,1825.1625,1916.7713526017,0.0998612693101257,38.368872268944,-1.11593776537035,-1.0468937360068
1751,1754,1710.5,1717.3,229176,20265200,"-1.97%","0.58%","-1.74%","03/18/2004","","","","","",1815.0175,1796.98937567335,1722.81697790278,1815.0175,1907.21802209722,-0.0299183658470086,34.6840256212423,-1.37982334576806,-1.11924634298638
1715,1738.7,1705.65,1727.25,223576,19551200,"0.58%","-2.30%","-1.78%","03/19/2004","","","","","",1808.4325,1787.69079225024,1711.05641836288,1808.4325,1905.80858163712,0.0831496881209012,36.5732035916581,-1.61740314226319,-1.19629152715317
1719.2,1722,1684.2,1687.45,187228,18286400,"-2.30%","0.54%","0.39%","03/22/2004","","","","","",1800.145,1774.32535328354,1691.82188196881,1800.145,1908.46811803119,-0.0201798196371473,32.5212424942583,-1.87522614851799,-1.30091360509855
1685,1713.85,1675.25,1696.55,257426,13205200,"0.54%","-0.15%","0.24%","03/23/2004","","","","","",1794.4575,1763.95530617907,1677.28127683591,1794.4575,1911.63372316409,0.0822211308906262,34.3131825913283,-2.23522067637416,-1.43289228787634
1697,1702.4,1678.1,1694.05,175332,8890400,"-0.15%","0.38%","3.14%","03/24/2004","","","","","",1788.0125,1754.63459868852,1663.84292290883,1788.0125,1912.18207709117,0.121636385493166,34.045696054718,-2.65366430260049,-1.60078836801842
1699,1712.45,1692.55,1700.55,140194,5548400,"0.38%","2.75%","3.77%","03/25/2004","","","","","",1783.605,1747.42331886339,1653.71957780028,1783.605,1913.49042219972,0.180275897812888,35.4545456129177,-2.93021361229056,-1.79724363326049
1721.9,1751.9,1718,1747.25,179696,14857200,"2.75%","1.00%","-0.16%","03/26/2004","","","","","",1782.455,1747.4002096816,1651.71250920225,1782.455,1913.19749079775,0.365365116630448,44.6092971519366,-2.99614385901223,-1.99460240540609
1750.25,1767.55,1738.1,1764.65,175850,13902400,"1.00%","-1.15%","0.05%","03/29/2004","","","","","",1780.4475,1749.70018172406,1649.9062326743,1780.4475,1910.9887673257,0.43949231410254,47.5919060915558,-2.97856647542337,-2.19802214751338
1764,1770.5,1740.4,1744.4,192928,13760000,"-1.15%","1.21%","3.82%","03/30/2004","","","","","",1775.2675,1748.99349082751,1647.67083360546,1775.2675,1902.86416639454,0.379042686332594,44.5831261852962,-3.06892684377428,-2.4150209340027
1745,1768.8,1733.55,1765.55,199438,14324400,"1.21%","2.58%","3.74%","03/31/2004","","","","","",1770.705,1751.20102538385,1648.69262398838,1770.705,1892.71737601162,0.478875093787579,48.262174730355,-2.94460425232945,-2.58888547917619
1768,1814.25,1765,1811.1,212846,15521600,"2.58%","1.13%","2.47%","04/01/2004","","","","","",1769.47,1759.18755533267,1649.63762374049,1769.47,1889.30237625951,0.673700970052729,55.1656402627526,-2.61343773907565,-2.69955598993313
1815,1835.9,1797.65,1831.55,243992,14730400,"1.13%","1.33%","1.32%","04/02/2004","","","","","",1767.31,1768.83588128831,1653.75320539924,1767.31,1880.86679460076,0.782854056535548,57.8827584237986,-2.33082487709499,-2.75017807088613
1835,1875.75,1835,1855.9,229636,13423600,"1.33%","-0.01%","-0.38%","04/05/2004","","","","","",1765.825,1780.44443044987,1657.85529360047,1765.825,1873.79470639953,0.917130892561151,60.9197606134289,-1.86413842500094,-2.70894670962244
1858.4,1874,1838,1855.8,263376,12823600,"-0.01%","-0.37%","0.20%","04/06/2004","","","","","",1765.515,1790.49183972322,1658.62137483928,1765.515,1872.40862516072,0.922312368320627,60.9003387627191,-1.37250999230741,-2.56659623070099
1860.25,1865,1831.15,1848.9,218350,13562800,"-0.37%","0.57%","-0.49%","04/07/2004","","","","","",1766.015,1798.27959442679,1657.66931665267,1766.015,1874.36068334733,0.882502548506204,59.490993439085,-0.621725554241792,-2.31009755758446
1846.5,1866.7,1838,1859.45,201788,13373200,"0.57%","-1.06%","1.18%","04/08/2004","","","","","",1768.8325,1806.43564850322,1654.03705464175,1768.8325,1883.62794535825,0.894691181854821,60.9779419597288,0.132019272698081,-1.96252387628331
1864.4,1867,1828.9,1839.75,144434,13614400,"-1.06%","2.27%","1.13%","04/12/2004","","","","","",1770.1975,1810.87756203612,1652.74154027466,1770.1975,1887.65345972534,0.796079058749527,56.7862803727785,0.802679962493436,-1.54238538318144
1839.95,1891,1822,1881.45,271024,14303200,"2.27%","-1.11%","-0.83%","04/13/2004","","","","","",1776.32,1820.28722043131,1649.44876843035,1776.32,1903.19123156965,0.914317724748674,62.640500071141,1.63128256479259,-1.02013989334068
1882,1888,1852.5,1860.55,251024,15931200,"-1.11%","0.28%","0.19%","04/15/2004","","","","","",1782.065,1825.65559104047,1650.93491916421,1782.065,1913.19508083579,0.799263904589086,58.3722604504904,2.21442499741726,-0.446914421146602
1869.7,1878.85,1855.8,1865.8,191052,16866000,"0.28%","-0.09%","-1.62%","04/16/2004","","","","","",1787.7625,1831.00817890174,1652.54056067431,1787.7625,1922.98443932569,0.788553397433693,59.1256884032184,2.6777169928536,0.14099166017887
1866,1867.25,1858.15,1864.05,41334,16926400,"-0.09%","-1.52%","-1.23%","04/17/2004","","","","","",1795.1,1835.41375504817,1660.04230492119,1795.1,1930.15769507881,0.755261279113964,58.7440201886894,3.17978505679013,0.753281652832773
1864,1869.9,1831.2,1835.65,201104,17009600,"-1.52%","0.29%","1.95%","04/19/2004","","","","","",1800.52,1835.44525437508,1668.11451899562,1800.52,1932.92548100438,0.632660671346525,52.7885692778392,3.43405934010976,1.34197029340063
1839,1846.85,1825.6,1841.05,189018,16689600,"0.29%","1.65%","2.65%","04/20/2004","","","","","",1808.2,1836.19255379174,1685.45289005439,1808.2,1930.94710994561,0.633811704465203,53.7487101048993,3.50990816819721,1.88446120012336
1833.3,1874.9,1828.7,1871.45,212802,16442800,"1.65%","0.98%","1.07%","04/21/2004","","","","","",1816.945,1840.89354661951,1702.62999267375,1816.945,1931.26000732625,0.738398270160829,58.8254107771464,3.44573389663978,2.33640113911021
1873.2,1894.7,1867.1,1889.85,182446,15555200,"0.98%","0.09%","-3.80%","04/22/2004","","","","","",1826.735,1847.42107373691,1723.1640769569,1826.735,1930.3059230431,0.804694590651348,61.5746023370108,3.28420476196072,2.6866439712505
1892,1904.85,1885.1,1891.5,177058,15226800,"0.09%","-3.89%","-3.99%","04/23/2004","","","","","",1836.2825,1853.29826390532,1746.74654479205,1836.2825,1925.81845520795,0.808353777383375,61.8207827813739,3.14173809199241,2.94653931897261
1876,1876,1813.6,1818,253472,12160400,"-3.89%","-0.10%","-0.65%","04/27/2004","","","","","",1839.82,1848.59182871794,1759.51978580352,1839.82,1920.12021419648,0.364134858055225,47.2873492529415,2.77868698569237,3.07402869907258
1813.9,1831.7,1798,1816.1,178170,8503600,"-0.10%","-0.54%","-1.80%","04/28/2004","","","","","",1842.3925,1844.25958488888,1768.88008421192,1842.3925,1915.90491578808,0.321169664211591,46.9798835980631,2.38570788611254,3.09306013114983
1811.1,1816.2,1791.3,1806.25,154380,5640800,"-0.54%","-1.27%","-2.82%","04/29/2004","","","","","",1845.485,1839.19164023703,1784.60338454837,1845.485,1906.36661545163,0.177776290026563,45.3342052322964,1.97472763380782,3.01495020236697
1800,1812,1775.05,1783.35,145526,17498000,"-1.27%","-1.58%","-0.03%","04/30/2004","","","","","",1846.375,1831.74608820543,1789.82737847619,1846.375,1902.92262152381,-0.0572736598078067,41.678826031163,1.33881942676943,2.810398465698
1773.15,1775,1731.55,1755.25,242914,19827200,"-1.58%","1.57%","2.56%","05/03/2004","","","","","",1843.5825,1821.54660977804,1775.91914747443,1843.5825,1911.24585252557,-0.152735171277648,37.6654895952601,0.72671429159068,2.50958234919588
1759,1791.8,1759,1782.8,182416,18737600,"1.57%","0.98%","2.19%","05/04/2004","","","","","",1841.145,1816.38039514097,1768.5880575341,1841.145,1913.7019424659,0.0979364757037534,43.4181315170392,0.173554809626708,2.13887642046583
1788,1805.4,1784.15,1800.25,150300,18847200,"0.98%","1.20%","-0.75%","05/05/2004","","","","","",1838.3625,1814.22967578884,1764.03566181217,1838.3625,1912.68933818783,0.243615489847112,46.7690329750362,-0.228893039744427,1.73058453864536
1806.5,1828.4,1806.5,1821.85,121058,19222000,"1.20%","-1.93%","-4.10%","05/06/2004","","","","","",1836.665,1815.24571901699,1762.45804547416,1836.665,1910.87195452584,0.400177819621737,50.663896305309,-0.41161038931935,1.31993841072535
1817.5,1818.9,1781.1,1786.75,162042,20314800,"-1.93%","-2.22%","-6.09%","05/07/2004","","","","","",1833.5575,1811.44628981473,1756.50940933579,1833.5575,1910.60559066421,0.196244906288481,44.9129713103786,-0.747097061744728,0.887845615865671
1780.6,1780.6,1736,1747.15,208060,24424800,"-2.22%","-3.96%","-2.99%","05/10/2004","","","","","",1827.9425,1802.87345117276,1743.26982273632,1827.9425,1912.61517726368,0.0229128060495882,39.4695269138443,-1.27428303642644,0.437515613408026
1741.1,1741.1,1666.4,1677.9,201104,26842000,"-3.96%","1.01%","1.18%","05/11/2004","","","","","",1819.85,1786.21032434973,1713.16272334528,1819.85,1926.53727665472,-0.165262083966244,32.134759697189,-1.96439407419573,-0.0458290488484484
1665.65,1701.65,1661.25,1694.9,204824,25507200,"1.01%","0.17%","-7.17%","05/12/2004","","","","","",1810.5225,1774.03561443643,1694.7738305692,1810.5225,1926.2711694308,0.00054501460542901,35.3127804269119,-2.58105833581477,-0.552027489917624
1694.6,1733.8,1628,1697.75,385976,28376800,"0.17%","-7.32%","-21.23%","05/13/2004","","","","","",1802.3825,1763.86419917824,1679.19283616817,1802.3825,1925.57216383183,0.0753194840159853,35.8550960498054,-2.80666884916829,-1.01263729835515
1705,1712,1552.3,1573.45,410506,29372800,"-7.32%","-15.01%","-6.45%","05/14/2004","","","","","",1787.765,1738.47563928781,1632.84995844496,1787.765,1942.68004155504,-0.191717853375311,25.7252275403981,-3.34239655633052,-1.46476072590195
1555.5,1555.5,1258.8,1337.35,160618,27766800,"-15.01%","10.07%","15.71%","05/17/2004","","","","","",1761.43,1684.9922207161,1515.1874460009,1761.43,2007.6725539991,-0.361102179766924,16.3033244759249,-4.46632320143219,-1.98030272713072
1379,1498.1,1360,1472,224650,23615200,"10.07%","5.12%","2.63%","05/18/2004","","","","","",1743.2475,1656.59325795395,1469.4497544377,1743.2475,2017.0452455623,0.00465717049106112,31.6730610984138,-5.12798779454143,-2.52464658877483
1478.8,1553.7,1478.8,1547.4,249016,20460400,"5.12%","-2.37%","0.14%","05/19/2004","","","","","",1728.565,1642.03415689343,1445.96796339133,1728.565,2011.16203660867,0.179464083958402,38.485256636339,-5.50634279567117,-3.09072796725836
1542,1568,1495.1,1510.75,188976,19196800,"-2.37%","2.57%","5.83%","05/20/2004","","","","","",1710.53,1624.52960264097,1420.76200590817,1710.53,2000.29799409183,0.155275937865154,36.5763577939236,-6.03370368206092,-3.67812870284905
1503,1556.7,1463.35,1549.55,272950,17084000,"2.57%","3.18%","3.35%","05/21/2004","","","","","",1693.515,1614.53232228884,1407.92923512367,1693.515,1979.10076487633,0.247947871172183,39.9709856456611,-6.59089386812438,-4.26886323970438
1557,1604.5,1557,1598.8,179920,14221600,"3.18%","0.16%","-0.27%","05/24/2004","","","","","",1678.88,1612.434679317,1405.64553950865,1678.88,1952.11446049135,0.353459186926873,44.0635462017353,-7.11326750969465,-4.84096028809315
1589,1621.4,1544,1601.4,225854,11599600,"0.16%","-0.43%","-0.87%","05/25/2004","","","","","",1668.05,1610.9633887414,1400.62212187208,1668.05,1935.47787812792,0.375386963269178,44.27951974291,-7.46741259160234,-5.38388853873621
1607.9,1628,1584.95,1594.45,196150,9273600,"-0.43%","-0.44%","-7.03%","05/26/2004","","","","","",1656.9675,1608.76160357588,1396.72527768586,1656.9675,1917.20972231414,0.379885939637159,43.7927717240323,-7.71062010407982,-5.92877201150416
1585,1608.45,1573.3,1587.5,175338,6886000,"-0.44%","-6.62%","-7.77%","05/27/2004","","","","","",1646.03,1605.92672309909,1393.53130218158,1646.03,1898.52869781842,0.384098412178565,43.2804092281553,-7.6239811422567,-6.40450363216262
1551.1,1551.1,1475,1482.4,234062,19094800,"-6.62%","-1.23%","0.06%","05/28/2004","","","","","",1630.9825,1589.45649335255,1377.14498843995,1630.9825,1884.82001156005,0.20732753585782,36.3537113073569,-7.85556500484053,-6.78108605476355
1473,1492,1436.3,1464.15,244514,20019200,"-1.23%","1.31%","3.58%","05/31/2004","","","","","",1616.4275,1572.74896090554,1359.39788210549,1616.4275,1873.45711789451,0.203774410810323,35.2973279377104,-8.11916942521816,-7.11343956928319
1480,1514,1477,1483.35,201522,20437600,"1.31%","2.24%","-1.04%","06/01/2004","","","","","",1601.455,1560.82909945147,1350.11164142452,1601.455,1852.79835857548,0.265052475089501,37.3596202679501,-7.69899795555979,-7.35706792038192
1484,1527.8,1479,1516.6,193124,20578800,"2.24%","-3.21%","-0.86%","06/02/2004","","","","","",1587.2725,1554.93188619127,1350.82991822802,1587.2725,1823.71508177198,0.350550396907451,40.8742515176893,-6.13020800849777,-7.36779062331935
1527.8,1544.7,1458.1,1467.85,260576,21649200,"-3.21%","2.43%","3.52%","06/03/2004","","","","","",1569.5725,1543.32096803244,1353.93632382587,1569.5725,1785.20867617413,0.264133964428451,37.5478257803416,-5.37581590778936,-7.2327819610599
1456.5,1510,1452,1503.5,229744,21438400,"2.43%","1.06%","1.85%","06/04/2004","","","","","",1555.41,1538.01150562811,1362.70152431717,1555.41,1748.11847568283,0.36531469408373,41.3093717621076,-4.91844224630692,-6.98891248735016
1510,1540,1508.25,1519.45,179718,21650000,"1.06%","0.78%","0.63%","06/07/2004","","","","","",1544.025,1535.53663821103,1372.19990724577,1544.025,1715.85009275423,0.428488326105109,42.9645676069669,-4.26955914134969,-6.63359543732208
1529.4,1537,1501.35,1531.3,183106,22168400,"0.78%","-0.15%","-0.20%","06/08/2004","","","","","",1536.695,1534.97175311623,1376.20565798627,1536.695,1697.18434201373,0.483192030285916,44.2231367009285,-3.84671967678017,-6.20427316762212
1536.55,1544,1520.1,1529,169216,21962000,"-0.15%","-0.05%","-2.50%","06/09/2004","","","","","",1528.4,1534.1755193674,1385.26482263259,1528.4,1671.53517736741,0.502095920831746,44.0200986177798,-3.62090235736114,-5.75948663596706
1527,1534.75,1514.4,1528.25,125478,22596000,"-0.05%","-2.46%","-4.01%","06/10/2004","","","","","",1519.925,1533.38545011841,1399.65656482268,1519.925,1640.19343517731,0.534610078645017,43.9492392238048,-3.36698934634503,-5.26075600724534
1522.25,1526.9,1486.5,1490.7,177326,23038400,"-2.46%","-1.59%","0.02%","06/11/2004","","","","","",1515.7875,1527.69405676929,1397.4918708542,1515.7875,1634.0831291458,0.393962692530761,40.4394203446928,-3.13186964705167,-4.70661158744906
1486.25,1497,1461.5,1466.95,178886,22100800,"-1.59%","1.64%","1.24%","06/14/2004","","","","","",1522.2675,1519.59484920005,1433.18929685804,1522.2675,1611.34570314196,0.189500360083353,38.353140185669,-3.01091381582795,-4.18571334970108
1464,1501,1464,1491.05,183582,21820400,"1.64%","-0.40%","1.22%","06/15/2004","","","","","",1523.22,1515.78886930671,1435.92258079416,1523.22,1610.51741920584,0.315744839351173,41.6431533412655,-2.34171097652881,-3.76476923503786
1496,1510,1479.55,1485.15,154290,21504400,"-0.40%","1.63%","-0.03%","06/16/2004","","","","","",1520.1075,1511.70368673248,1432.04491273957,1520.1075,1608.17008726043,0.30151900433824,41.0653476286352,-1.75332494231172,-3.36227023887368
1488.9,1516.6,1472.35,1509.3,173214,20962400,"1.63%","-1.63%","-2.22%","06/17/2004","","","","","",1520.035,1511.38319516815,1431.93933552098,1520.035,1608.13066447902,0.439071916515503,44.4622002175814,-1.14995000767169,-2.94354887902532
1510,1510,1477.2,1484.7,209834,20830400,"-1.63%","-0.60%","-0.59%","06/18/2004","","","","","",1516.7925,1507.8254358124,1428.50730149538,1516.7925,1605.07769850462,0.318245297379487,41.8181285472335,-0.790182663786476,-2.55695149262941
1490,1496,1473.15,1475.85,151506,17836800,"-0.60%","0.01%","-1.92%","06/21/2004","","","","","",1510.645,1503.56204437074,1429.19979817693,1510.645,1592.09020182307,0.286390117397034,40.8763533160127,-0.499166215254543,-2.18500110801545
1473,1489,1467.5,1475.95,162882,14499200,"0.01%","-1.93%","-0.45%","06/22/2004","","","","","",1504.3725,1499.88043845465,1433.17279160874,1504.3725,1575.57220839126,0.300402974659583,40.8925514988276,-1.00110455322323,-1.89391246311123
1480.3,1484.9,1443.25,1447.5,162764,11371600,"-1.93%","1.51%","1.35%","06/23/2004","","","","","",1497.025,1492.89637999403,1434.75493897546,1497.025,1559.29506102454,0.102336988392525,37.7258234739452,-1.33569377917461,-1.66821295564785
1451.3,1472,1440,1469.3,149446,8563600,"1.51%","-0.16%","1.82%","06/24/2004","","","","","",1491.115,1489.75019599482,1443.63407646223,1491.115,1538.59592353777,0.270276161723722,41.4663364799652,-1.48156637526874,-1.48484592544975
1453,1473.95,1444,1467,151156,14644400,"-0.16%","1.98%","2.28%","06/25/2004","","","","","",1490.345,1486.71683652885,1441.83538342761,1490.345,1538.85461657239,0.259377607477437,41.1852622450411,-1.71417522925643,-1.34076386027514
1470,1498.8,1466.35,1496,124702,15243600,"1.98%","0.30%","-0.74%","06/28/2004","","","","","",1491.9375,1487.95459165833,1444.90348172599,1491.9375,1538.97151827401,0.5431868267807,46.142360529621,-1.75819887857562,-1.27592918272478
1492,1509.4,1482.45,1500.5,190338,16708000,"0.30%","-1.04%","1.51%","06/29/2004","","","","","",1492.795,1489.62731277056,1445.79317131217,1492.795,1539.79682868783,0.581964895995583,46.8903814535037,-1.4566693499432,-1.24296745023939
1504,1512.85,1480.3,1484.9,188498,17970000,"-1.04%","2.57%","2.68%","06/30/2004","","","","","",1491.21,1488.99700440115,1445.40330179985,1491.21,1537.01669820015,0.431123610214952,44.5788892010048,-1.06210146592509,-1.23320650115644
1488,1524.9,1484.3,1523.1,179634,18761600,"2.57%","0.11%","-0.63%","07/01/2004","","","","","",1493.9725,1493.544070481,1447.47535519518,1493.9725,1540.46964480482,0.813218156967171,50.954623331489,-0.701944122238696,-1.22340221876224
1516.7,1536.4,1508.1,1524.7,228866,18539600,"0.11%","-0.73%","1.57%","07/02/2004","","","","","",1495.0325,1497.69819441686,1446.78137281109,1495.0325,1543.28362718891,0.807428051202308,51.2078133365655,-0.320551627016319,-1.20355615340244
1531,1532.5,1510,1513.55,152528,18416400,"-0.73%","2.32%","2.67%","07/05/2004","","","","","",1494.7375,1499.81176849461,1447.01790365845,1494.7375,1542.45709634154,0.69711503703167,49.2978881052862,-0.376773021121168,-1.13418598316887
1514.7,1551.65,1510.2,1548.7,178740,17810000,"2.32%","0.34%","-3.18%","07/06/2004","","","","","",1495.6075,1506.330199362,1444.723717957,1495.6075,1546.491282043,1.02170355532072,54.9964125447466,-0.236959622474153,-1.01210441020216
1542.25,1565.7,1541,1554,220178,17880000,"0.34%","-3.51%","-1.05%","07/07/2004","","","","","",1496.8575,1512.6861727804,1441.70467346318,1496.8575,1552.01032653681,1.01803781952913,55.8030235613457,0.0164509456302753,-0.845658041213378
1560,1572,1487.75,1499.4,406820,20005600,"-3.51%","2.55%","2.89%","07/08/2004","","","","","",1495.415,1510.91468307635,1442.14487610302,1495.415,1548.68512389698,0.537403705008332,46.5472539523924,0.190893783031298,-0.633983706514741
1487,1543,1453,1537.65,195006,19677600,"2.55%","0.33%","-0.84%","07/09/2004","","","","","",1497.7625,1514.4793919995,1441.47772519366,1497.7625,1554.04727480634,0.854336498078248,52.4921426603608,0.511938183368343,-0.381746255187634
1532.25,1549.95,1523.1,1542.8,102454,20486400,"0.33%","-1.17%","-2.14%","07/12/2004","","","","","",1501.555,1518.25547306623,1443.8814627407,1501.555,1559.2285372593,0.857573004535528,53.2461089708154,0.818226578935577,-0.12898004086777
1548,1552,1513.1,1524.75,111106,20092800,"-1.17%","-0.98%","0.26%","07/13/2004","","","","","",1503.24,1519.12140999074,1444.92696029189,1503.24,1561.55303970811,0.684435592001965,50.2368238908694,1.12455740811543,0.113982056247844
1528.95,1530,1505,1509.85,141446,20731600,"-0.98%","1.25%","2.56%","07/14/2004","","","","","",1504.475,1517.88522199197,1446.70304746246,1504.475,1562.24695253754,0.546519113202095,47.8335576609662,1.25684696072563,0.331625509910547
1506.15,1532.95,1503,1528.7,159396,20993600,"1.25%","1.29%","2.01%","07/15/2004","","","","","",1505.445,1519.32719239304,1446.73768444223,1505.445,1564.15231555777,0.698058791984067,51.0255307222355,1.41396901593218,0.524350025793713
1532,1551.7,1521.4,1548.45,147900,21053200,"1.29%","0.71%","0.21%","07/16/2004","","","","","",1508.6325,1523.2102334073,1447.88940759436,1508.6325,1569.37559240564,0.82775331665781,54.1884180116358,1.71372488842854,0.756627571299236
1550,1570.7,1543,1559.4,127388,21625600,"0.71%","-0.50%","1.11%","07/19/2004","","","","","",1512.81,1528.03553561966,1450.19653020316,1512.81,1575.42346979684,0.872044546893568,55.889358254595,1.73612174872095,0.975858834765359
1556.5,1560.8,1541.4,1551.65,145508,21691600,"-0.50%","1.61%","2.31%","07/20/2004","","","","","",1516.595,1531.18413087037,1454.2001372307,1516.595,1578.9898627693,0.780912549881008,54.3512201474203,1.66535469511735,1.15907036248615
1554.85,1597,1546,1576.65,147618,23652800,"1.61%","0.68%","1.18%","07/21/2004","","","","","",1523.0525,1537.24624675432,1463.95242829954,1523.0525,1582.15257170046,0.953446996406766,58.3347090983236,1.79166825540065,1.33693419274941
1598,1604,1578.5,1587.45,183800,22914400,"0.68%","0.49%","1.56%","07/22/2004","","","","","",1528.96,1543.94008052041,1468.92029980088,1528.96,1588.99970019912,0.987094370941405,59.9602367952314,1.74051809670621,1.47344307200917
1593,1598.85,1582.5,1595.2,124398,22398800,"0.49%","1.07%","0.14%","07/23/2004","","","","","",1535.37,1550.77473645103,1475.78684466227,1535.37,1594.95315533773,1.0020714299274,61.1320914723663,1.74525290703313,1.57644599735334
